Date and Time,Underdrain Outflow (cfs),Underdrain Outflow (in/hr),,,
4/27/11 20:40,0,0,,4/27/11 20:43,0.24
4/27/11 20:42,0,0,,4/27/11 20:44,0.24
4/27/11 20:44,0,0,,4/27/11 20:45,0.24
4/27/11 20:46,0,0,,4/27/11 20:46,0.05
4/27/11 20:48,0,0,,4/27/11 20:47,0.05
4/27/11 20:50,0,0,,4/27/11 20:48,0.05
4/27/11 20:52,0,0,,4/27/11 20:49,0.05
4/27/11 20:54,0,0,,4/27/11 20:50,0.05
4/27/11 20:56,0,0,,4/27/11 20:51,0.05
4/27/11 20:58,0,0,,4/27/11 20:52,0.05
4/27/11 21:00,0,0,,4/27/11 20:53,0.05
4/27/11 21:02,0,0,,4/27/11 20:54,0.05
4/27/11 21:04,0,0,,4/27/11 20:55,0.05
4/27/11 21:06,0,0,,4/27/11 20:56,0.05
4/27/11 21:08,0,0,,4/27/11 20:57,0.15
4/27/11 21:10,0,0,,4/27/11 20:58,0.36
4/27/11 21:12,0,0,,4/27/11 20:59,0.36
4/27/11 21:14,0,0,,4/27/11 21:00,0.36
4/27/11 21:16,0,0,,4/27/11 21:01,0.12
4/27/11 21:18,0,0,,4/27/11 21:02,0.12
4/27/11 21:20,0,0,,4/27/11 21:03,0.12
4/27/11 21:22,0,0,,4/27/11 21:04,0.12
4/27/11 21:24,0,0,,4/27/11 21:05,0.12
4/27/11 21:26,0,0,,4/27/11 21:06,0.06
4/27/11 21:28,0,0,,4/27/11 21:07,0.06
4/27/11 21:30,0,0,,4/27/11 21:08,0.06
4/27/11 21:32,0,0,,4/27/11 21:09,0.06
4/27/11 21:34,0,0,,4/27/11 21:10,0.06
4/27/11 21:36,0,0,,4/27/11 21:11,0.06
4/27/11 21:38,0,0,,4/27/11 21:12,0.06
4/27/11 21:40,0,0,,4/27/11 21:13,0.06
4/27/11 21:42,0,0,,4/27/11 21:14,0.06
4/27/11 21:44,0,0,,4/27/11 21:15,0.06
4/27/11 21:46,0,0,,4/27/11 21:16,0.12
4/27/11 21:48,0,0,,4/27/11 21:17,0.12
4/27/11 21:50,0,0,,4/27/11 21:18,0.12
4/27/11 21:52,0,0,,4/27/11 21:19,0.12
4/27/11 21:54,0,0,,4/27/11 21:20,0.12
4/27/11 21:56,0,0,,4/27/11 21:21,0.09
4/27/11 21:58,0,0,,4/27/11 21:22,0.09
4/27/11 22:00,0,0,,4/27/11 21:23,0.09
4/27/11 22:02,0,0,,4/27/11 21:24,0.09
4/27/11 22:04,0,0,,4/27/11 21:25,0.09
4/27/11 22:06,0,0,,4/27/11 21:26,0.09
4/27/11 22:08,0,0,,4/27/11 21:27,0.18
4/27/11 22:10,0,0,,4/27/11 21:28,0.36
4/27/11 22:12,0,0,,4/27/11 21:29,0.36
4/27/11 22:14,0,0,,4/27/11 21:30,0.36
4/27/11 22:16,0,0,,4/27/11 21:31,0.36
4/27/11 22:18,0,0,,4/27/11 21:52,0.6
4/27/11 22:20,0,0,,4/27/11 21:53,0.6
4/27/11 22:22,0,0,,4/27/11 21:54,0.6
4/27/11 22:24,0,0,,4/27/11 21:55,0.6
4/27/11 22:26,0,0,,4/27/11 21:56,0.72
4/27/11 22:28,0,0,,4/27/11 21:57,0.72
4/27/11 22:30,0,0,,4/27/11 21:58,0.72
4/27/11 22:32,0,0,,4/27/11 21:59,0.72
4/27/11 22:34,0,0,,4/27/11 22:00,0.72
4/27/11 22:36,0,0,,4/27/11 22:01,0.72
4/27/11 22:38,0,0,,4/27/11 22:15,0.04
4/27/11 22:40,0,0,,4/27/11 22:16,0.04
4/27/11 22:42,0,0,,4/27/11 22:17,0.04
4/27/11 22:44,0,0,,4/27/11 22:18,0.04
4/27/11 22:46,0,0,,4/27/11 22:19,0.04
4/27/11 22:48,0,0,,4/27/11 22:20,0.04
4/27/11 22:50,0,0,,4/27/11 22:21,0.04
4/27/11 22:52,0,0,,4/27/11 22:22,0.04
4/27/11 22:54,0,0,,4/27/11 22:23,0.04
4/27/11 22:56,0,0,,4/27/11 22:24,0.04
4/27/11 22:58,0,0,,4/27/11 22:25,0.04
4/27/11 23:00,0,0,,4/27/11 22:26,0.04
4/27/11 23:02,0,0,,4/27/11 22:27,0.04
4/27/11 23:04,0,0,,4/27/11 22:28,0.04
4/27/11 23:06,0,0,,4/27/11 22:29,0.04
4/27/11 23:08,0,0,,4/27/11 22:30,0.04
4/27/11 23:10,0,0,,4/27/11 22:31,0.04
4/27/11 23:12,0,0,,4/27/11 22:32,0.04
4/27/11 23:14,0,0,,4/27/11 22:33,0.04
4/27/11 23:16,0,0,,4/27/11 22:34,0.04
4/27/11 23:18,0,0,,4/27/11 22:35,0.04
4/27/11 23:20,0,0,,4/27/11 22:36,0.48
4/27/11 23:22,0,0,,4/27/11 22:37,0.48
4/27/11 23:24,0,0,,4/27/11 22:38,0.48
4/27/11 23:26,0,0,,4/27/11 22:39,0.48
