SWMM5,LID,Report,File,,,,,,,,
,,,,,,,,,,,
Project:,,,,,,,,,,,
LID,Unit:,GreenRoof,in,Subcatchment,FS10,,,,,,
,,,,,,,,,,,
,Elapsed,Total,Total,Surface,Soil,Bottom,Surface,Drain,Surface,Soil/,Storage
,Time,Inflow,Evap,Infil,Perc,Infil,Runoff,Outflow,Depth,Pave,Depth
,Hours,in/hr,in/hr,in/hr,in/hr,in/hr,in/hr,in/hr,inches,Moist,inches
-------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,
JAN-06-2009,10:40:00,0,0,0,0,0,0,0.06288,0,0.14738,0.43551
JAN-06-2009,10:45:00,0,0,0,0,0,0,0.05889,0,0.14738,0.41915
JAN-06-2009,10:50:00,0,0,0,0,0,0,0.05525,0,0.14738,0.4038
JAN-06-2009,10:55:00,0,0,0,0,0,0,0.05192,0,0.14738,0.38938
JAN-06-2009,11:00:00,0,0,0,0,0,0,0.04887,0,0.14738,0.37581
JAN-06-2009,11:05:00,0,0,0,0,0,0,0.04606,0,0.14738,0.36301
JAN-06-2009,11:10:00,0,0,0,0,0,0,0.04348,0,0.14738,0.35093
JAN-06-2009,11:15:00,0,0,0,0,0,0,0.04109,0,0.14738,0.33952
JAN-06-2009,11:20:00,0,0,0,0,0,0,0.03889,0,0.14738,0.32872
JAN-06-2009,11:25:00,0,0,0,0,0,0,0.03685,0,0.14738,0.31848
JAN-06-2009,11:30:00,0,0,0,0,0,0,0.03496,0,0.14738,0.30877
JAN-06-2009,11:35:00,0,0,0,0,0,0,0.0332,0,0.14738,0.29955
JAN-06-2009,11:40:00,0,0,0,0,0,0,0.03156,0,0.14738,0.29078
JAN-06-2009,11:45:00,0,0,0,0,0,0,0.03004,0,0.14738,0.28244
JAN-06-2009,11:50:00,0,0,0,0,0,0,0.02862,0,0.14738,0.27449
JAN-06-2009,11:55:00,0,0,0,0,0,0,0.02729,0,0.14738,0.26691
JAN-06-2009,12:00:00,0,0,0,0,0,0,0.02604,0,0.14738,0.25967
JAN-06-2009,12:05:00,0,0,0,0,0,0,0.02488,0,0.14738,0.25276
JAN-06-2009,12:10:00,0,0,0,0,0,0,0.02378,0,0.14738,0.24616
JAN-06-2009,12:15:00,0,0,0,0,0,0,0.02276,0,0.14738,0.23984
JAN-06-2009,12:20:00,0.12,0,0.12,0,0,0,0.02179,0,0.14988,0.23378
JAN-06-2009,12:25:00,0,0,0,0,0,0,0.02088,0,0.14988,0.22798
JAN-06-2009,12:30:00,0,0,0,0,0,0,0.02003,0,0.14988,0.22242
JAN-06-2009,12:35:00,0,0,0,0,0,0,0.01922,0,0.14988,0.21708
JAN-06-2009,12:40:00,0,0,0,0,0,0,0.01845,0,0.14988,0.21196
JAN-06-2009,12:45:00,0,0,0,0,0,0,0.01773,0,0.14988,0.20703
JAN-06-2009,12:50:00,0,0,0,0,0,0,0.01705,0,0.14988,0.20229
JAN-06-2009,12:55:00,0,0,0,0,0,0,0.01641,0,0.14988,0.19774
JAN-06-2009,13:00:00,0,0,0,0,0,0,0.0158,0,0.14988,0.19335
JAN-06-2009,13:05:00,0,0,0,0,0,0,0.01522,0,0.14988,0.18912
JAN-06-2009,13:10:00,0,0,0,0,0,0,0.01467,0,0.14988,0.18505
JAN-06-2009,13:15:00,0,0,0,0,0,0,0.01414,0,0.14988,0.18112
JAN-06-2009,13:20:00,0,0,0,0,0,0,0.01365,0,0.14988,0.17733
JAN-06-2009,13:25:00,0,0,0,0,0,0,0.01317,0,0.14988,0.17367
JAN-06-2009,13:30:00,0,0,0,0,0,0,0.01272,0,0.14988,0.17013
JAN-06-2009,13:35:00,0,0,0,0,0,0,0.01229,0,0.14988,0.16672
JAN-06-2009,13:40:00,0,0,0,0,0,0,0.01189,0,0.14988,0.16342
JAN-06-2009,13:45:00,0,0,0,0,0,0,0.0115,0,0.14988,0.16022
JAN-06-2009,13:50:00,0,0,0,0,0,0,0.01112,0,0.14988,0.15713
JAN-06-2009,13:55:00,0,0,0,0,0,0,0.01077,0,0.14988,0.15414
JAN-06-2009,14:00:00,0,0,0,0,0,0,0.01043,0,0.14988,0.15125
JAN-06-2009,14:05:00,0,0,0,0,0,0,0.01011,0,0.14988,0.14844
JAN-06-2009,14:10:00,0,0,0,0,0,0,0.00979,0,0.14988,0.14572
JAN-06-2009,14:15:00,0,0,0,0,0,0,0.0095,0,0.14988,0.14308
JAN-06-2009,14:20:00,0,0,0,0,0,0,0.00921,0,0.14988,0.14052
JAN-06-2009,14:25:00,0,0,0,0,0,0,0.00894,0,0.14988,0.13804
JAN-06-2009,14:30:00,0,0,0,0,0,0,0.00868,0,0.14988,0.13563
JAN-06-2009,14:35:00,0,0,0,0,0,0,0.00843,0,0.14988,0.13329
JAN-06-2009,14:40:00,0,0,0,0,0,0,0.00819,0,0.14988,0.13101
JAN-06-2009,14:45:00,0,0,0,0,0,0,0.00795,0,0.14988,0.1288
JAN-06-2009,14:50:00,0,0,0,0,0,0,0.00773,0,0.14988,0.12666
JAN-06-2009,14:55:00,0,0,0,0,0,0,0.00752,0,0.14988,0.12457
JAN-06-2009,15:00:00,0,0,0,0,0,0,0.00731,0,0.14988,0.12254
JAN-06-2009,15:05:00,0,0,0,0,0,0,0.00711,0,0.14988,0.12056
JAN-06-2009,15:10:00,0,0,0,0,0,0,0.00692,0,0.14988,0.11864
JAN-06-2009,15:15:00,0,0,0,0,0,0,0.00674,0,0.14988,0.11676
JAN-06-2009,15:20:00,0,0,0,0,0,0,0.00657,0,0.14988,0.11494
JAN-06-2009,15:25:00,0,0,0,0,0,0,0.0064,0,0.14988,0.11316
JAN-06-2009,15:30:00,0,0,0,0,0,0,0.00623,0,0.14988,0.11143
